order_id,order_date,product_category,product_name,quantity,unit_price,total_value,customer_region,payment_method,order_status
ORD-0028,2024-01-09,Casa e Jardim,Vassoura Elétrica Robô,1,477.9,477.9,Nordeste,Cartao,Cancelado
ORD-0029,2024-01-09,Livros,A Startup Enxuta,1,44.98,44.98,Sudeste,PIX,Em transito
ORD-0030,2024-01-10,Livros,Clean Code,1,93.54,93.54,Nordeste,Cartao,Entregue
ORD-0031,2024-01-11,Moda,Boné Snapback,1,57.03,57.03,Nordeste,Cartao,Entregue
ORD-0032,2024-01-11,Casa e Jardim,Vassoura Elétrica Robô,1,480.89,480.89,Sul,Boleto,Entregue
ORD-0033,2024-01-12,Livros,Sapiens - Uma Breve Historia,2,49.32,98.64,Sudeste,Cartao,Entregue
ORD-0034,2024-01-12,Beleza,Kit Skincare Vitamina C,2,141.38,282.76,Norte,Cartao,Entregue
ORD-0035,2024-01-13,Eletrônicos,Hub USB 7 portas,2,84.83,169.66,Centro-Oeste,Cartao,Entregue
ORD-0036,2024-01-13,Eletrônicos,Hub USB 7 portas,2,83.14,166.28,Sul,Boleto,Entregue
ORD-0037,2024-01-14,Beleza,Perfume Masculino 100ml,4,171.29,685.16,Sudeste,PIX,Entregue
ORD-0038,2024-01-14,Moda,Calça Jeans Skinny,1,144.3,144.3,Sul,Boleto,Cancelado
ORD-0039,2024-01-14,Beleza,Shampoo Antirresíduo 300ml,1,35.59,35.59,Sudeste,PIX,Entregue
ORD-0040,2024-01-15,Livros,Algoritmos - CLRS,1,143.45,143.45,Centro-Oeste,PIX,Entregue
ORD-0041,2024-01-15,Beleza,Shampoo Antirresíduo 300ml,2,40.12,80.24,Sul,PIX,Entregue
ORD-0042,2024-01-17,Livros,Clean Code,5,84.1,420.5,Sudeste,PIX,Entregue
ORD-0043,2024-01-18,Beleza,Pinceis de Maquiagem Kit 12pc,1,76.11,76.11,Centro-Oeste,Cartao,Entregue
ORD-0044,2024-01-18,Eletrônicos,Webcam Full HD 1080p,1,236.33,236.33,Sudeste,Cartao,Entregue
ORD-0045,2024-01-18,Eletrônicos,Mouse Sem Fio Logitech,1,162.57,162.57,Centro-Oeste,Cartao,Entregue
ORD-0046,2024-01-18,Moda,Bolsa Feminina de Couro,1,265.33,265.33,Nordeste,PIX,Entregue
ORD-0047,2024-01-18,Beleza,Protetor Solar FPS 60,1,46.44,46.44,Centro-Oeste,PIX,Entregue
ORD-0048,2024-01-19,Eletrônicos,Webcam Full HD 1080p,1,211.57,211.57,Sul,PIX,Em transito
ORD-0049,2024-01-19,Moda,Calça Jeans Skinny,3,143.25,429.75,Nordeste,Cartao,Entregue
ORD-0050,2024-01-20,Casa e Jardim,Panela de Pressão Elétrica,1,267.03,267.03,Sul,Cartao,Entregue
ORD-0051,2024-01-20,Beleza,Shampoo Antirresíduo 300ml,1,41.73,41.73,Centro-Oeste,PIX,Cancelado
ORD-0052,2024-01-21,Eletrônicos,Webcam Full HD 1080p,1,231.61,231.61,Sul,Boleto,Entregue
ORD-0053,2024-01-21,Eletrônicos,Smartphone Samsung Galaxy A54,2,1246.62,2493.24,Centro-Oeste,PIX,Entregue
ORD-0054,2024-01-22,Beleza,Protetor Solar FPS 60,3,49.24,147.72,Sudeste,Cartao,Entregue
ORD-0055,2024-01-23,Eletrônicos,Teclado Mecânico Redragon,1,278.82,278.82,Sudeste,PIX,Entregue
ORD-0056,2024-01-23,Casa e Jardim,Vassoura Elétrica Robô,1,516.41,516.41,Sul,Cartao,Entregue
ORD-0057,2024-01-23,Esportes,Tapete de Yoga 6mm,1,76.28,76.28,Sudeste,Boleto,Entregue
ORD-0058,2024-01-24,Moda,Tênis Casual Masculino,1,170.44,170.44,Sul,Boleto,Entregue
ORD-0059,2024-01-24,Beleza,Protetor Solar FPS 60,2,44.21,88.42,Sul,PIX,Entregue
ORD-0060,2024-01-24,Casa e Jardim,Luminária LED de Mesa,1,97.13,97.13,Norte,Cartao,Entregue
ORD-0061,2024-01-24,Eletrônicos,Mouse Sem Fio Logitech,1,145.05,145.05,Centro-Oeste,Cartao,Entregue
ORD-0062,2024-01-25,Livros,Clean Code,1,87.5,87.5,Nordeste,Cartao,Entregue
ORD-0063,2024-01-25,Moda,Meia Kit 3 pares,2,27.54,55.08,Norte,PIX,Entregue
ORD-0064,2024-01-26,Beleza,Secador de Cabelo Profissional,2,200.52,401.04,Sudeste,Cartao,Entregue
ORD-0065,2024-01-26,Livros,Sapiens - Uma Breve Historia,1,45.57,45.57,Nordeste,PIX,Entregue
ORD-0066,2024-01-26,Livros,Algoritmos - CLRS,1,136.81,136.81,Norte,Cartao,Entregue
ORD-0067,2024-01-27,Esportes,Tapete de Yoga 6mm,1,72.01,72.01,Norte,Cartao,Entregue
ORD-0068,2024-01-28,Eletrônicos,Cabo HDMI 2m,1,39.61,39.61,Sudeste,PIX,Em transito
ORD-0069,2024-01-28,Eletrônicos,Hub USB 7 portas,1,80.66,80.66,Sul,Cartao,Em transito
ORD-0070,2024-01-29,Beleza,Pinceis de Maquiagem Kit 12pc,3,77.02,231.06,Nordeste,Boleto,Entregue
ORD-0071,2024-01-30,Eletrônicos,Carregador Turbo USB-C,1,71.12,71.12,Sudeste,Cartao,Entregue
ORD-0072,2024-01-31,Beleza,Perfume Masculino 100ml,2,201.66,403.32,Centro-Oeste,Cartao,Entregue
ORD-0073,2024-02-02,Esportes,Tapete de Yoga 6mm,1,77.09,77.09,Nordeste,PIX,Entregue
ORD-0074,2024-02-02,Beleza,Kit Skincare Vitamina C,2,116.93,233.86,Sul,Boleto,Cancelado
ORD-0075,2024-02-02,Moda,Bolsa Feminina de Couro,2,227.45,454.9,Nordeste,Cartao,Cancelado
ORD-0076,2024-02-03,Moda,Boné Snapback,1,53.62,53.62,Nordeste,Cartao,Entregue
ORD-0077,2024-02-03,Moda,Vestido Floral Midi,1,174.69,174.69,Centro-Oeste,Cartao,Entregue
ORD-0078,2024-02-03,Beleza,Secador de Cabelo Profissional,3,207.48,622.44,Centro-Oeste,Cartao,Entregue
ORD-0079,2024-02-04,Casa e Jardim,Jogo de Cama Queen 300 fios,2,150.69,301.38,Sul,PIX,Entregue
ORD-0080,2024-02-06,Livros,Algoritmos - CLRS,1,135.5,135.5,Sul,PIX,Entregue
ORD-0081,2024-02-06,Beleza,Pinceis de Maquiagem Kit 12pc,1,77.55,77.55,Sudeste,Cartao,Entregue
ORD-0082,2024-02-06,Moda,Camisa Social Slim Fit,1,127.51,127.51,Nordeste,PIX,Entregue
ORD-0083,2024-02-07,Esportes,Tapete de Yoga 6mm,1,79.47,79.47,Sudeste,PIX,Entregue
ORD-0084,2024-02-07,Esportes,Corda de Pular Speed,1,47.74,47.74,Norte,PIX,Entregue
ORD-0085,2024-02-08,Livros,Sapiens - Uma Breve Historia,1,44.49,44.49,Norte,Cartao,Entregue
ORD-0086,2024-02-08,Moda,Calça Jeans Skinny,3,130.91,392.73,Sudeste,Boleto,Entregue
ORD-0087,2024-02-08,Moda,Boné Snapback,5,54.48,272.4,Nordeste,PIX,Entregue
ORD-0088,2024-02-08,Moda,Calça Jeans Skinny,2,150.54,301.08,Sul,PIX,Entregue
ORD-0089,2024-02-08,Casa e Jardim,Panela de Pressão Elétrica,1,265.7,265.7,Nordeste,PIX,Em transito
ORD-0090,2024-02-09,Esportes,Corda de Pular Speed,3,52.33,156.99,Sudeste,PIX,Entregue
ORD-0091,2024-02-09,Moda,Boné Snapback,1,54.82,54.82,Centro-Oeste,Cartao,Entregue
ORD-0092,2024-02-09,Moda,Bolsa Feminina de Couro,1,240.53,240.53,Norte,Cartao,Entregue
ORD-0093,2024-02-10,Beleza,Secador de Cabelo Profissional,3,208.37,625.11,Centro-Oeste,Cartao,Entregue
ORD-0094,2024-02-11,Moda,Boné Snapback,1,62.48,62.48,Sul,Cartao,Em transito
ORD-0095,2024-02-11,Livros,A Startup Enxuta,1,48.02,48.02,Norte,PIX,Entregue
ORD-0096,2024-02-12,Eletrônicos,Smartphone Samsung Galaxy A54,3,1276.24,3828.72,Sudeste,Cartao,Entregue
ORD-0097,2024-02-12,Livros,Algoritmos - CLRS,2,145.22,290.44,Sul,Cartao,Entregue
ORD-0098,2024-02-12,Esportes,Bicicleta Speed Aro 29,2,1351.08,2702.16,Sudeste,Cartao,Entregue
ORD-0099,2024-02-12,Casa e Jardim,Jogo de Cama Queen 300 fios,2,149.07,298.14,Nordeste,Boleto,Entregue
ORD-0100,2024-02-13,Eletrônicos,Carregador Turbo USB-C,2,65.43,130.86,Sudeste,PIX,Entregue
ORD-0101,2024-02-13,Eletrônicos,Teclado Mecânico Redragon,1,326.47,326.47,Sudeste,Cartao,Entregue
ORD-0102,2024-02-13,Eletrônicos,Smartphone Samsung Galaxy A54,1,1193.39,1193.39,Nordeste,PIX,Entregue
ORD-0103,2024-02-15,Moda,Tênis Casual Masculino,1,178.99,178.99,Sul,Cartao,Cancelado
ORD-0104,2024-02-15,Eletrônicos,Smartphone Samsung Galaxy A54,3,1228.79,3686.37,Sul,Cartao,Entregue
ORD-0105,2024-02-18,Eletrônicos,Mouse Sem Fio Logitech,2,160.9,321.8,Sudeste,Boleto,Entregue
ORD-0106,2024-02-18,Moda,Vestido Floral Midi,3,147.69,443.07,Norte,Boleto,Entregue
ORD-0107,2024-02-19,Livros,Pai Rico Pai Pobre,3,44.59,133.77,Sul,Cartao,Entregue
ORD-0108,2024-02-20,Beleza,Perfume Masculino 100ml,2,199.98,399.96,Sudeste,Cartao,Entregue
ORD-0109,2024-02-20,Eletrônicos,Webcam Full HD 1080p,1,207.27,207.27,Sul,Cartao,Entregue
ORD-0110,2024-02-21,Casa e Jardim,Jogo de Cama Queen 300 fios,2,153.0,306.0,Nordeste,PIX,Entregue
ORD-0111,2024-02-21,Esportes,Garrafa Térmica 1L,2,55.29,110.58,Nordeste,Cartao,Entregue
ORD-0112,2024-02-21,Moda,Boné Snapback,1,53.97,53.97,Sudeste,Cartao,Entregue
ORD-0113,2024-02-21,Esportes,Tênis de Corrida Nike,1,387.88,387.88,Centro-Oeste,Cartao,Entregue
ORD-0114,2024-02-21,Eletrônicos,Carregador Turbo USB-C,1,63.3,63.3,Nordeste,Cartao,Entregue
ORD-0115,2024-02-22,Eletrônicos,Teclado Mecânico Redragon,2,302.24,604.48,Sul,Boleto,Entregue
ORD-0116,2024-02-22,Esportes,Garrafa Térmica 1L,2,62.29,124.58,Nordeste,Boleto,Entregue
ORD-0117,2024-02-22,Livros,Pai Rico Pai Pobre,1,45.63,45.63,Sudeste,PIX,Entregue
ORD-0118,2024-02-22,Moda,Calça Jeans Skinny,1,132.77,132.77,Sul,PIX,Em transito
ORD-0119,2024-02-23,Beleza,Shampoo Antirresíduo 300ml,2,38.97,77.94,Nordeste,PIX,Entregue
ORD-0120,2024-02-23,Esportes,Tênis de Corrida Nike,1,426.26,426.26,Norte,Cartao,Entregue
ORD-0121,2024-02-23,Beleza,Protetor Solar FPS 60,1,45.43,45.43,Centro-Oeste,PIX,Entregue
ORD-0122,2024-02-24,Esportes,Tênis de Corrida Nike,2,382.36,764.72,Nordeste,Cartao,Entregue
ORD-0123,2024-02-25,Esportes,Tênis de Corrida Nike,1,424.26,424.26,Sudeste,Cartao,Entregue
ORD-0124,2024-02-25,Livros,Pai Rico Pai Pobre,2,45.6,91.2,Centro-Oeste,Cartao,Entregue
ORD-0125,2024-02-25,Esportes,Corda de Pular Speed,2,46.96,93.92,Norte,Cartao,Entregue
ORD-0126,2024-02-26,Esportes,Whey Protein 900g,1,132.44,132.44,Sul,Cartao,Entregue
ORD-0127,2024-02-27,Eletrônicos,Hub USB 7 portas,1,97.73,97.73,Nordeste,Cartao,Em transito
ORD-0128,2024-02-27,Beleza,Pinceis de Maquiagem Kit 12pc,2,79.69,159.38,Sudeste,Boleto,Entregue
ORD-0129,2024-02-27,Beleza,Kit Skincare Vitamina C,1,118.92,118.92,Sul,PIX,Entregue
ORD-0130,2024-02-28,Livros,A Startup Enxuta,1,45.56,45.56,Sul,Boleto,Entregue
ORD-0131,2024-02-28,Eletrônicos,Fone de Ouvido Bluetooth JBL,1,179.88,179.88,Nordeste,Cartao,Entregue
ORD-0132,2024-02-28,Esportes,Tênis de Corrida Nike,2,390.31,780.62,Nordeste,Cartao,Entregue
ORD-0133,2024-03-01,Eletrônicos,Hub USB 7 portas,1,81.96,81.96,Centro-Oeste,PIX,Em transito
ORD-0134,2024-03-02,Moda,Camisa Social Slim Fit,1,114.52,114.52,Sudeste,Cartao,Entregue
ORD-0135,2024-03-03,Esportes,Halteres Par 5kg,1,92.5,92.5,Sudeste,Cartao,Entregue
ORD-0136,2024-03-03,Casa e Jardim,Kit Ferramentas 42 peças,3,118.92,356.76,Centro-Oeste,Cartao,Entregue
ORD-0137,2024-03-03,Livros,Pai Rico Pai Pobre,1,42.51,42.51,Nordeste,Cartao,Entregue
ORD-0138,2024-03-04,Moda,Boné Snapback,1,60.86,60.86,Sul,Boleto,Entregue
ORD-0139,2024-03-04,Esportes,Garrafa Térmica 1L,1,53.15,53.15,Sudeste,Cartao,Entregue
ORD-0140,2024-03-04,Livros,O Poder do Hábito,1,41.34,41.34,Sudeste,PIX,Entregue
ORD-0141,2024-03-05,Beleza,Pinceis de Maquiagem Kit 12pc,2,79.44,158.88,Nordeste,Cartao,Entregue
ORD-0142,2024-03-05,Casa e Jardim,Panela de Pressão Elétrica,2,298.28,596.56,Norte,Cartao,Entregue
ORD-0143,2024-03-05,Livros,Sapiens - Uma Breve Historia,1,44.93,44.93,Sudeste,PIX,Entregue
ORD-0144,2024-03-05,Beleza,Perfume Masculino 100ml,1,189.41,189.41,Sudeste,PIX,Entregue
ORD-0145,2024-03-06,Beleza,Protetor Solar FPS 60,2,50.9,101.8,Centro-Oeste,Cartao,Entregue
ORD-0146,2024-03-07,Moda,Bolsa Feminina de Couro,1,239.77,239.77,Sudeste,PIX,Entregue
ORD-0147,2024-03-07,Moda,Bolsa Feminina de Couro,4,264.7,1058.8,Nordeste,Cartao,Entregue
ORD-0148,2024-03-08,Esportes,Halteres Par 5kg,1,95.05,95.05,Sudeste,PIX,Entregue
ORD-0149,2024-03-08,Casa e Jardim,Jogo de Cama Queen 300 fios,1,142.29,142.29,Sudeste,Cartao,Entregue
ORD-0150,2024-03-09,Esportes,Tapete de Yoga 6mm,2,79.17,158.34,Sudeste,Cartao,Em transito
ORD-0151,2024-03-09,Livros,O Poder do Hábito,1,41.03,41.03,Sudeste,Cartao,Entregue
ORD-0152,2024-03-09,Beleza,Perfume Masculino 100ml,5,181.35,906.75,Nordeste,PIX,Entregue
ORD-0153,2024-03-09,Esportes,Corda de Pular Speed,2,53.84,107.68,Sudeste,Cartao,Entregue
ORD-0154,2024-03-09,Casa e Jardim,Regador de Jardim 5L,2,40.64,81.28,Sudeste,PIX,Entregue
ORD-0155,2024-03-10,Moda,Meia Kit 3 pares,1,26.44,26.44,Sudeste,Cartao,Entregue
ORD-0156,2024-03-11,Beleza,Secador de Cabelo Profissional,1,209.77,209.77,Norte,Boleto,Entregue
ORD-0157,2024-03-11,Eletrônicos,Carregador Turbo USB-C,2,75.39,150.78,Centro-Oeste,Boleto,Cancelado
ORD-0158,2024-03-12,Moda,Boné Snapback,1,63.32,63.32,Sul,Cartao,Entregue
ORD-0159,2024-03-13,Beleza,Pinceis de Maquiagem Kit 12pc,2,78.83,157.66,Sudeste,PIX,Entregue
ORD-0160,2024-03-13,Beleza,Kit Skincare Vitamina C,2,126.49,252.98,Sul,Boleto,Entregue
ORD-0161,2024-03-13,Esportes,Tênis de Corrida Nike,3,405.54,1216.62,Norte,PIX,Em transito
ORD-0162,2024-03-13,Beleza,Shampoo Antirresíduo 300ml,3,40.54,121.62,Norte,PIX,Em transito
ORD-0163,2024-03-14,Moda,Calça Jeans Skinny,3,132.57,397.71,Sudeste,Cartao,Entregue
ORD-0164,2024-03-14,Esportes,Corda de Pular Speed,2,47.47,94.94,Sudeste,PIX,Entregue
ORD-0165,2024-03-15,Esportes,Bicicleta Speed Aro 29,3,1386.35,4159.05,Nordeste,PIX,Em transito
ORD-0166,2024-03-15,Moda,Boné Snapback,3,63.83,191.49,Sudeste,Boleto,Cancelado
ORD-0167,2024-03-16,Eletrônicos,Teclado Mecânico Redragon,1,284.07,284.07,Centro-Oeste,PIX,Entregue
ORD-0168,2024-03-16,Casa e Jardim,Kit Ferramentas 42 peças,1,134.15,134.15,Sul,Cartao,Entregue
ORD-0169,2024-03-17,Esportes,Bicicleta Speed Aro 29,1,1388.88,1388.88,Sul,PIX,Entregue
ORD-0170,2024-03-17,Eletrônicos,Webcam Full HD 1080p,1,227.5,227.5,Sudeste,PIX,Entregue
ORD-0171,2024-03-18,Eletrônicos,Teclado Mecânico Redragon,1,291.08,291.08,Nordeste,Cartao,Cancelado
ORD-0172,2024-03-18,Beleza,Shampoo Antirresíduo 300ml,1,36.21,36.21,Sudeste,Cartao,Entregue
ORD-0173,2024-03-18,Beleza,Perfume Masculino 100ml,1,193.84,193.84,Nordeste,Cartao,Cancelado
ORD-0174,2024-03-18,Eletrônicos,Fone de Ouvido Bluetooth JBL,1,175.39,175.39,Sul,PIX,Entregue
ORD-0175,2024-03-19,Moda,Bolsa Feminina de Couro,1,237.89,237.89,Nordeste,Cartao,Entregue
ORD-0176,2024-03-19,Beleza,Kit Skincare Vitamina C,2,137.98,275.96,Sudeste,Cartao,Entregue
ORD-0177,2024-03-19,Beleza,Pinceis de Maquiagem Kit 12pc,1,75.77,75.77,Norte,Boleto,Entregue
ORD-0178,2024-03-20,Eletrônicos,Cabo HDMI 2m,2,39.0,78.0,Nordeste,Boleto,Em transito
ORD-0179,2024-03-20,Casa e Jardim,Luminária LED de Mesa,3,96.76,290.28,Nordeste,Cartao,Entregue
ORD-0180,2024-03-21,Esportes,Corda de Pular Speed,2,44.82,89.64,Sudeste,PIX,Em transito
ORD-0181,2024-03-21,Esportes,Tapete de Yoga 6mm,2,75.63,151.26,Sul,Cartao,Entregue
ORD-0182,2024-03-21,Beleza,Protetor Solar FPS 60,1,49.37,49.37,Sudeste,PIX,Em transito
ORD-0183,2024-03-21,Moda,Vestido Floral Midi,2,153.49,306.98,Sul,Cartao,Entregue
ORD-0184,2024-03-22,Casa e Jardim,Kit Ferramentas 42 peças,4,127.39,509.56,Sudeste,PIX,Em transito
ORD-0185,2024-03-22,Eletrônicos,Hub USB 7 portas,1,91.0,91.0,Sul,Cartao,Entregue
ORD-0186,2024-03-22,Eletrônicos,Carregador Turbo USB-C,1,71.78,71.78,Centro-Oeste,Cartao,Entregue
ORD-0187,2024-03-23,Beleza,Secador de Cabelo Profissional,1,204.41,204.41,Sul,PIX,Cancelado
ORD-0188,2024-03-24,Eletrônicos,Teclado Mecânico Redragon,1,317.37,317.37,Sudeste,Cartao,Entregue
ORD-0189,2024-03-24,Eletrônicos,Hub USB 7 portas,1,88.2,88.2,Nordeste,Cartao,Entregue
ORD-0190,2024-03-24,Casa e Jardim,Regador de Jardim 5L,2,35.9,71.8,Sul,PIX,Entregue
ORD-0191,2024-03-25,Eletrônicos,Smartphone Samsung Galaxy A54,1,1232.63,1232.63,Nordeste,PIX,Em transito
ORD-0192,2024-03-25,Eletrônicos,Webcam Full HD 1080p,1,206.93,206.93,Centro-Oeste,PIX,Cancelado
ORD-0193,2024-03-25,Livros,Clean Code,2,82.23,164.46,Sudeste,PIX,Entregue
ORD-0194,2024-03-26,Eletrônicos,Webcam Full HD 1080p,1,200.12,200.12,Sudeste,Boleto,Entregue
ORD-0195,2024-03-28,Livros,Algoritmos - CLRS,1,134.34,134.34,Nordeste,PIX,Entregue
ORD-0196,2024-03-28,Esportes,Tênis de Corrida Nike,1,406.32,406.32,Sul,PIX,Cancelado
ORD-0197,2024-03-29,Moda,Bolsa Feminina de Couro,1,224.42,224.42,Sudeste,PIX,Cancelado
ORD-0198,2024-03-29,Eletrônicos,Teclado Mecânico Redragon,2,269.19,538.38,Norte,Cartao,Entregue
ORD-0199,2024-03-29,Livros,Pai Rico Pai Pobre,4,43.29,173.16,Centro-Oeste,PIX,Entregue
ORD-0200,2024-03-29,Eletrônicos,Cabo HDMI 2m,1,42.1,42.1,Sul,PIX,Em transito
ORD-0201,2024-03-30,Eletrônicos,Fone de Ouvido Bluetooth JBL,2,189.21,378.42,Nordeste,Cartao,Entregue
ORD-0202,2024-03-30,Beleza,Perfume Masculino 100ml,1,179.05,179.05,Sudeste,Cartao,Entregue
ORD-0203,2024-03-31,Beleza,Secador de Cabelo Profissional,1,211.03,211.03,Sudeste,PIX,Entregue
ORD-0204,2024-03-31,Livros,O Poder do Hábito,1,36.31,36.31,Nordeste,PIX,Entregue
ORD-0205,2024-04-01,Moda,Calça Jeans Skinny,1,133.67,133.67,Sudeste,PIX,Entregue
ORD-0206,2024-04-01,Beleza,Shampoo Antirresíduo 300ml,1,39.81,39.81,Norte,PIX,Entregue
ORD-0207,2024-04-01,Casa e Jardim,Tapete Sala 2x3m,2,189.51,379.02,Sudeste,Boleto,Entregue
ORD-0208,2024-04-02,Esportes,Corda de Pular Speed,2,48.53,97.06,Sudeste,Cartao,Entregue
ORD-0209,2024-04-03,Moda,Tênis Casual Masculino,3,161.53,484.59,Centro-Oeste,PIX,Cancelado
ORD-0210,2024-04-03,Casa e Jardim,Kit Ferramentas 42 peças,2,132.36,264.72,Nordeste,PIX,Entregue
ORD-0211,2024-04-03,Eletrônicos,Fone de Ouvido Bluetooth JBL,2,177.57,355.14,Norte,PIX,Cancelado
ORD-0212,2024-04-04,Casa e Jardim,Jogo de Cama Queen 300 fios,1,135.37,135.37,Sudeste,Cartao,Cancelado
ORD-0213,2024-04-04,Esportes,Garrafa Térmica 1L,2,53.45,106.9,Sudeste,PIX,Entregue
ORD-0214,2024-04-05,Casa e Jardim,Tapete Sala 2x3m,1,203.49,203.49,Sul,PIX,Entregue
ORD-0215,2024-04-05,Esportes,Tapete de Yoga 6mm,1,78.67,78.67,Nordeste,PIX,Entregue
ORD-0216,2024-04-05,Livros,Pai Rico Pai Pobre,3,45.15,135.45,Norte,Boleto,Entregue
ORD-0217,2024-04-06,Casa e Jardim,Tapete Sala 2x3m,1,190.68,190.68,Centro-Oeste,Cartao,Entregue
ORD-0218,2024-04-06,Moda,Tênis Casual Masculino,1,172.52,172.52,Norte,Cartao,Entregue
ORD-0219,2024-04-06,Esportes,Tapete de Yoga 6mm,2,76.75,153.5,Sudeste,PIX,Entregue
ORD-0220,2024-04-06,Moda,Camisa Social Slim Fit,2,119.8,239.6,Sul,Cartao,Em transito
ORD-0221,2024-04-07,Livros,Algoritmos - CLRS,3,144.67,434.01,Norte,PIX,Entregue
ORD-0222,2024-04-07,Beleza,Shampoo Antirresíduo 300ml,2,37.9,75.8,Sul,PIX,Entregue
ORD-0223,2024-04-08,Moda,Vestido Floral Midi,3,173.26,519.78,Norte,Boleto,Entregue
ORD-0224,2024-04-08,Moda,Calça Jeans Skinny,1,126.16,126.16,Sul,PIX,Entregue
ORD-0225,2024-04-09,Casa e Jardim,Vassoura Elétrica Robô,1,469.21,469.21,Sul,Boleto,Cancelado
ORD-0226,2024-04-09,Casa e Jardim,Jogo de Cama Queen 300 fios,2,134.75,269.5,Centro-Oeste,Cartao,Cancelado
ORD-0227,2024-04-10,Casa e Jardim,Jogo de Cama Queen 300 fios,4,145.23,580.92,Nordeste,PIX,Entregue
ORD-0228,2024-04-10,Moda,Bolsa Feminina de Couro,1,260.57,260.57,Sul,Cartao,Entregue
ORD-0229,2024-04-11,Beleza,Protetor Solar FPS 60,4,50.9,203.6,Sul,PIX,Entregue
ORD-0230,2024-04-12,Moda,Calça Jeans Skinny,2,133.63,267.26,Sudeste,Cartao,Em transito
ORD-0231,2024-04-12,Livros,Algoritmos - CLRS,2,159.45,318.9,Nordeste,PIX,Entregue
ORD-0232,2024-04-14,Livros,Pai Rico Pai Pobre,1,45.23,45.23,Nordeste,PIX,Entregue
ORD-0233,2024-04-14,Casa e Jardim,Panela de Pressão Elétrica,3,260.47,781.41,Sudeste,Cartao,Entregue
ORD-0234,2024-04-15,Casa e Jardim,Tapete Sala 2x3m,1,170.53,170.53,Sul,PIX,Entregue
ORD-0235,2024-04-16,Beleza,Kit Skincare Vitamina C,1,117.34,117.34,Nordeste,PIX,Entregue
ORD-0236,2024-04-16,Esportes,Tênis de Corrida Nike,1,402.67,402.67,Nordeste,Boleto,Entregue
ORD-0237,2024-04-16,Beleza,Perfume Masculino 100ml,1,176.25,176.25,Norte,PIX,Entregue
